timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch
78076804,-0.21832052,0,0.4831325,2.66E-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78100768,-0.2924216,0,0.4831325,-5.65E-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78124715,-0.38245317,0,0.4831325,-7.29E-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78146360,-0.49117905,0,0.4831325,-1.59E-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78170704,-0.60520136,0,0.4831325,8.41E-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78194348,-0.7079707,0,0.4831325,6.21E-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78214332,-0.80504197,0,0.4831325,6.50E-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78235170,-0.89416945,0,0.4831325,-9.77E-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78259201,-0.9669016,0,0.4831325,-4.88E-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78279524,-1,0,0.4831325,1.09E-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78303161,-1,0,0.4831325,9.96E-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78327171,-1,0,0.4831325,3.47E-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78347979,-0.999147,0,0.4831325,-6.69E-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78367927,-0.9992736,0,0.4831325,-9.26E-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78388315,-0.9998986,0,0.4831325,-2.11E-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78407932,-1,0,0.4831325,1.03E-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78427965,-0.99754554,0,0.4831325,7.95E-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78451967,-0.9875125,0,0.4831325,9.16E-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78475949,-0.9571653,0,0.4831325,-1.22E-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78499986,-0.8805662,0,0.4831325,-6.30E-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78519993,-0.76220506,0,0.4831325,5.90E-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78543949,-0.612338,0,0.4831325,1.26E-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78568355,-0.39869332,0,0.4831325,4.53E-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78587947,-0.16161913,0,0.4831325,-7.80E-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78611929,-0.008265937,0,0.4831325,-1.18E-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78635937,0.07002571,0,0.4831325,-3.00E-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78659949,0.15123625,0,0.4831325,1.30E-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78683961,0.26036242,0,0.4831325,1.00E-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78703952,0.38983902,0,0.4831325,3.00E-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78724008,0.5243997,0,0.4831325,-1.00E-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78744009,0.6533187,0,0.4831325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78767974,0.7796625,0,0.4831325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78791989,0.9071696,0,0.4831325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78811956,0.99520546,0,0.4831325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78836196,1,0,0.4831325,-0.000510055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78859959,1,0,0.4831325,-0.004268916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78880765,0.99937457,0,0.4831325,-0.010658586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78900768,0.9983979,0,0.4831325,-0.012793755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78925550,0.9965,0,0.4831325,-0.008251123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78946349,0.94649345,0,0.4831325,-0.002073961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78970364,0.78848296,0,0.4831325,0.000849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
78994349,0.4994743,0,0.4831325,0.000719959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79014329,0.1665399,0,0.4831325,9.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79038749,-0.028158247,0,0.4831325,-0.000104124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79058405,-0.09377983,0,0.4831325,-5.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79082330,-0.17942034,0,0.4831325,-1.05E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79102363,-0.30929357,0,0.4831325,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79126382,-0.42545637,0,0.4831325,4.26E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79150589,-0.47662523,0,0.4831325,-5.75E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79174589,-0.45770878,0,0.4831325,-1.05E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79198668,-0.38943288,0,0.4831325,-2.74E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79223357,-0.29754204,0,0.4831325,1.04E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79243168,-0.20809798,0,0.4831325,9.20E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79267352,-0.11714575,0,0.4831325,1.37E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79287227,-0.03370142,0,0.4831325,-1.29E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79307998,0.007469734,0,0.4831325,-7.47E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79331940,0.009359538,0,0.4831325,-2.24E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79353593,0.003511112,0,0.4831325,1.38E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79373586,0.00451537,0,0.4831325,5.54E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79397895,0.006536751,0,0.4831325,-6.55E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79417566,0.003551592,0,0.4831325,-1.33E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79441792,3.24E-05,0,0.4831325,-3.62E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79461590,-0.000683481,0,0.4831325,1.26E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79485575,-0.000258911,0,0.4831325,1.17E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79505894,3.82E-05,0,0.4831325,1.87E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79529627,6.48E-05,0,0.4831325,-1.61E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79553570,1.65E-05,0,0.4831325,-9.60E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79573585,-6.60E-06,0,0.4831325,-4.01E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79597575,-5.67E-06,0,0.4831325,1.73E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79621568,-8.01E-07,0,0.4831325,7.19E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79641570,8.13E-07,0,0.4831325,-7.37E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79661561,4.57E-07,0,0.4831325,-1.68E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79681789,9.73E-09,0,0.4831325,-4.76E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79705871,-8.60E-08,0,0.4831325,1.53E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79729867,-3.37E-08,0,0.4831325,1.50E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79753600,4.39E-09,0,0.4831325,2.54E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79773606,8.22E-09,0,0.4831325,-1.99E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
