timestamp,P_X,P_Y,P_Z,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,s_variance_m_s,c_variance_rad,fix_quality,sAcc,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,status0,status1,fix_type,vel_ned_valid,satellites_used,gps_kind
33382824,0,0,0,0,282419028,1129934198,132516,115783,368278000,0.0,0.0,0,3,0.771,1.516,0.79999995,3.8,0,0,0.11,0.02,-0.04,0.099999994,0.8790827,-33382824,13,13,3,1,15,3
33582751,0,0,0,0,282419030,1129934199,132567,115835,368278200,0.0,0.0,0,3,0.762,1.498,0.79999995,3.8,0,0,0.03,-0.03,0.0,-0.01,0.87839466,-33582751,13,13,3,1,15,3
33783532,0,0,0,0,282419032,1129934200,132604,115871,368278400,0.0,0.0,0,3,0.754,1.4820001,0.79999995,3.8,0,0,0.12,-0.02,0.03,-0.12,0.87832505,-33783532,13,13,3,1,15,3
33984526,0,0,0,0,282419033,1129934201,132639,115906,368278600,0.0,0.0,0,3,0.74600005,1.4660001,0.79999995,3.8,0,0,0.22999999,-0.11,-0.06,0.19,0.8678869,-33984526,13,13,3,1,15,3
34164526,0,0,0,0,282419036,1129934202,132679,115947,368278800,0.0,0.0,0,3,0.73800004,1.45,0.79999995,3.8,0,0,0.12,0.07,0.02,-0.099999994,0.8678869,-34164526,13,13,3,1,15,3
34384651,0,0,0,0,282419037,1129934203,132725,115992,368279000,0.0,0.0,0,3,0.73,1.4350001,0.79999995,3.8,0,0,0.02,0.0,0.0,0.02,0.8764511,-34384651,13,13,3,1,15,3
34574617,0,0,0,0,282419039,1129934204,132770,116037,368279200,0.0,0.0,0,3,0.72300005,1.4200001,0.79999995,3.8,0,0,0.06,0.06,-0.01,-0.01,0.86752146,-34574617,13,13,3,1,15,3
34794616,0,0,0,0,282419040,1129934205,132814,116081,368279400,0.0,0.0,0,3,0.716,1.406,0.79999995,3.8,0,0,0.04,-0.02,0.0,0.03,0.8658077,-34794616,13,13,3,1,15,3
34977046,0,0,0,0,282419040,1129934205,132850,116117,368279600,0.0,0.0,0,3,0.70900005,1.3920001,0.79999995,3.8,0,0,0.02,-0.01,-0.01,0.01,0.8639926,-34977046,13,13,3,1,15,3
35177533,0,0,0,0,282419040,1129934205,132881,116148,368279800,0.0,0.0,0,3,0.702,1.3790001,0.79999995,3.8,0,0,0.03,-0.02,0.01,0.01,0.85277635,-35177533,13,13,3,1,15,3
