timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
209654632,209654632,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209678361,209678361,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209698367,209698367,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209718367,209718367,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209738348,209738348,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209762358,209762358,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209786396,209786396,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209810374,209810374,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209834326,209834326,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209858623,209858623,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209878379,209878379,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209898408,209898408,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209922325,209922325,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209942365,209942365,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209966346,209966346,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
209990343,209990343,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210010676,210010676,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210034375,210034375,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210058364,210058364,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210082706,210082706,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210102357,210102357,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210123166,210123166,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210143161,210143161,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210163160,210163160,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210187204,210187204,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210207196,210207196,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210231161,210231161,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210251165,210251165,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210275208,210275208,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210295221,210295221,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210315188,210315188,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210339208,210339208,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210363200,210363200,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210387160,210387160,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210411191,210411191,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210435157,210435157,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210455164,210455164,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210479519,210479519,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210503373,210503373,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210523184,210523184,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210547153,210547153,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210567153,210567153,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210591199,210591199,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210615161,210615161,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210635150,210635150,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210655195,210655195,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210675194,210675194,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210699208,210699208,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210723146,210723146,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210743138,210743138,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210767552,210767552,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210787197,210787197,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210811200,210811200,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
