timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
717399222,-0.0013277773,-0.00068569474,0.0028739218,4000,0,0.20767249,0.29089922,-9.629214,4000
717404021,-0.002400719,0.0012882111,0.0017984839,4799,0,0.20745969,0.28513348,-9.634065,4799
717408828,-0.0023043826,0.00023383385,0.0014274291,4807,0,0.20756157,0.29921335,-9.621124,4807
717412821,-0.0033154963,0.00019769718,0.0016751841,3993,0,0.19980194,0.3054065,-9.644457,3993
717416821,-0.0028819742,-0.0013828219,0.0006936887,4000,0,0.19514719,0.3020234,-9.671284,4000
717420850,-0.0022380825,-0.0029792136,0.0011200297,4029,0,0.1935536,0.28765932,-9.664892,4029
717424821,-0.0028081003,-1.9280968e-05,0.0022111915,3971,0,0.19512054,0.28488493,-9.671638,3971
717428828,-0.0020239246,-0.0012766231,0.000505113,4007,0,0.209448,0.2795723,-9.667554,4007
717432821,0.0002709349,-0.0029169573,0.0027673335,3993,0,0.20900966,0.28500208,-9.648384,3993
717436821,2.9496423e-05,-0.0013352353,0.0043854974,4000,0,0.20781863,0.2884728,-9.659467,4000
717440822,-0.002164485,-0.0022602656,0.0023031626,4001,0,0.2007294,0.28111258,-9.642946,4001
717444834,-0.0014164093,-0.00045388442,0.002022843,4012,0,0.20390095,0.27872658,-9.615943,4012
717448831,0.00031089195,-0.0006471714,0.0012106679,3997,0,0.22109337,0.2975821,-9.632324,3997
717452821,-0.0003523774,0.0021057026,0.0020905512,3990,0,0.21647336,0.2786384,-9.639794,3990
717456822,-0.0007829404,-0.00087661186,0.0021380782,4001,0,0.21542513,0.2809144,-9.635115,4001
717460821,-0.0006494458,-0.0011812504,0.0012871335,3999,0,0.20880632,0.29529232,-9.640139,3999
717464847,-0.0022731044,-0.0035405157,0.0024693504,4026,0,0.20820735,0.28506687,-9.678181,4026
717468828,-0.0021404063,-0.0009534105,0.0014605351,3981,0,0.19539091,0.28663993,-9.662923,3981
717472821,-0.0030939968,-0.0012865715,0.0010130971,3993,0,0.21713494,0.29734692,-9.646583,3993
717476821,-1.8296545e-05,-0.0005577699,0.0012032082,4000,0,0.2292932,0.2885282,-9.629928,4000
717480832,0.0001946735,0.00042203517,0.0014373593,4011,0,0.21626726,0.28039032,-9.630695,4011
717484822,-0.0016754476,-0.0013671883,-0.00044617156,3990,0,0.21132933,0.28636646,-9.645477,3990
717488822,-0.0013738713,-0.0018048156,0.00029909486,4000,0,0.2165973,0.27731055,-9.645044,4000
717492822,-0.0014392606,0.00091706705,0.0030030983,4000,0,0.21688642,0.27955377,-9.63692,4000
717496822,0.00061287056,-0.002490291,0.0020283507,4000,0,0.21220703,0.289632,-9.640213,4000
717500828,-0.0014085696,0.0023070814,0.00187098,4006,0,0.21316332,0.28137526,-9.662009,4006
717504822,-0.0020429788,0.001154414,0.0016102112,3994,0,0.20670761,0.2764775,-9.652911,3994
717508831,9.153293e-05,-0.00075670646,0.0014161607,4009,0,0.19023567,0.296989,-9.625842,4009
717512821,0.0001761563,0.0028462454,0.0023284953,3990,0,0.20951656,0.29956275,-9.608717,3990
717516822,7.870365e-05,8.790985e-05,0.0022682715,4001,0,0.21849449,0.29498023,-9.645709,4001
717520828,0.0009516199,-0.0016719084,0.0053557185,4006,0,0.21304493,0.283821,-9.636008,4006
717524821,-0.00044404864,-0.00150749,0.0018246758,3993,0,0.1972806,0.27054742,-9.638958,3993
717528837,-0.0029917553,-0.0032040912,0.001303974,4016,0,0.204596,0.28495812,-9.646184,4016
717532821,-0.0026267178,-0.001861897,0.003784498,3984,0,0.19997147,0.28490227,-9.672882,3984
717536822,-0.0021533815,-0.0010133716,0.0028666637,4001,0,0.20287469,0.29782394,-9.650105,4001
717540830,-0.002709794,-0.0005659021,0.0027364306,4008,0,0.20811197,0.2931588,-9.652103,4008
717544822,-0.00076365576,0.0005144395,0.0014165799,3992,0,0.21379614,0.28450602,-9.647375,3992
717548861,0.0006598873,-0.0011575777,-0.00017684892,4039,0,0.20014179,0.27633247,-9.641636,4039
717552821,-0.0006567725,-0.0017220135,0.0015965081,3960,0,0.19316854,0.29056305,-9.668756,3960
717556822,-0.00021682026,-0.0006430947,0.00087782164,4001,0,0.2148252,0.297276,-9.671852,4001
717560828,-0.0006291359,-0.0010560789,0.00043823276,4006,0,0.20335118,0.28206107,-9.672815,4006
717564821,-0.0022381179,-0.0025531529,0.0011161951,3993,0,0.20226319,0.27712047,-9.665255,3993
717568852,-0.0013202468,-0.00057437323,0.0026523299,4031,0,0.21839382,0.28801823,-9.659202,4031
717572821,0.00083630934,-0.0013983932,0.0014239019,3969,0,0.23682338,0.300557,-9.6679535,3969
717576822,-0.00076239725,0.00030786535,0.0015240907,4001,0,0.22874132,0.29883185,-9.650139,4001
717581629,-0.0005987168,-0.0008108462,0.00029870562,4807,0,0.20955035,0.29974264,-9.653924,4807
717585622,-0.0003330414,0.0016784983,0.0010201377,3993,0,0.20611666,0.28408507,-9.64853,3993
717589639,-0.0001169426,0.00051867985,0.0011193624,4017,0,0.22283903,0.29481667,-9.664566,4017
717593622,0.00016269097,-0.0011003371,0.00300641,3983,0,0.22763897,0.30814543,-9.6661625,3983
717597654,0.0002922691,-0.0010780075,0.0021651979,4032,0,0.21449731,0.297935,-9.657976,4032
717601628,-0.00090103335,0.00081706524,0.0024760582,3974,0,0.21344727,0.2794606,-9.634552,3974
